Year,Peak Streamflow (cfs)
1927,2278000
1928,1325000
1929,1730000
1930,1148000
1931,711000
1932,1410000
1933,1360000
1934,877000
1935,1420000
1936,1280000
1937,2080000
1938,1190000
1939,1410000
1940,1075000
1941,814000
1942,1178000
1943,1648000
1944,1610000
1945,1922000
1946,1481000
1947,1301000
1948,1401000
1949,1574000
1950,1880000
1951,1356000
1952,1368000
1953,983000
1954,706000
1955,1282000
1956,1110000
1957,1312000
1958,1191000
1959,977000
1960,1100000
1961,1580000
1962,1440000
1963,1334000
1964,1270000
1965,1284000
1966,1110000
1967,1040000
1968,1160000
1969,1404000
1970,1304000
1971,1320000
1972,1147000
1973,1962000
1974,1530000
1975,1840000
1976,1020000
1977,980000
1978,1350000
1979,1690000
1980,1370000
1981,956000
1982,1182000
1983,1790000
1984,1600000
1985,1430000
1986,1312000
1987,1230000
1988,1140000
1989,1430000
1990,1380000
1991,1690000
1992,1100000
1993,1333000
1994,1560000
1995,1280000
1996,1150000
1997,1780000
1998,1350000
1999,1315000
2000,787000
2001,1221000
2002,1537000
2003,1370000
2004,1153000
2005,1542000
2006,956000
2007,1187000
2008,1820000
2009,1550000
2010,1320000
2011,2310000
2012,1190000
2013,1380000
2014,1040000
